timestamp,project_name,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,on_cloud,cloud_provider,cloud_region
2020-03-23 09:26:11,project_delta,26,8,3.3385102961109245,3,0,1.2345361050919164,3,0,0.15653343414605037,1,Canada,CAN,Sao Paulo,N,,asia-east1
2020-03-24 09:26:11,project_alpha,30,8,3.0810761761335623,6,0,1.2345361515662918,6,0,0.1565334439606509,6,Canada,CAN,Ontario,N,,
2020-03-25 09:26:11,project_theta,21,8,3.561574046262956,1,0,1.2345378692254632,1,0,0.1565338083384862,1,Brazil,CAN,Ontario,N,,asia-east1
2020-03-26 09:26:11,project_alpha,26,7,1.2448934009366366,6,0,1.2345356506260259,6,0,0.15653333798490712,6,Canada,CAN,Ontario,N,,
2020-03-27 09:26:11,project_alpha,46,3,2.3840077049733153,5,0,1.2345380043319343,7,0,0.15653383747268054,7,Taiwan,CAN,Ontario,N,,
2020-03-28 09:26:11,project_delta,37,7,3.3755734992938007,7,0,1.2345362970376264,5,0,0.15653347525061717,7,Taiwan,CAN,Ontario,Y,,asia-east1
2020-03-29 09:26:11,project_gamma,39,9,0.9633096844591587,9,0,1.2345362866056628,6,0,0.1565334734026321,6,USA,USA,Ohio,N,,
2020-03-30 09:26:11,project_beta,49,1,1.8058281468746777,6,0,1.234535343775014,7,0,0.1565332731763795,6,Canada,BRA,Sao Paulo,Y,,asia-east1
2020-03-31 09:26:11,project_gamma,27,9,4.286023962374286,1,0,1.2345362088145286,1,0,0.15653345599516888,1,Taiwan,TWN,Changhua County,N,,asia-east1
2020-04-01 09:26:11,project_gamma,39,8,4.260516246743453,1,0,1.2345378029156113,3,0,0.1565337943784808,1,USA,USA,Ohio,N,,
2020-04-02 09:26:11,project_alpha,36,5,0.5,2,0,1.2345360350542904,2,0,0.15653341943035115,2,Canada,CAN,Ontario,N,gcp,
2020-04-03 09:26:11,project_gamma,30,6,4.5,4,0,1.2345370340750539,4,0,0.15653363093648204,4,Canada,TWN,Ontario,N,gcp,asia-east1
2020-04-04 09:26:11,project_alpha,38,9,0.5,3,0,1.23453670799912,3,0,0.15653356224365944,1,Brazil,BRA,Sao Paulo,N,,brazilsouth
2020-04-05 09:26:11,project_theta,25,9,2.568514864947097,4,0,1.2345367226330761,4,0,0.1565335652874304,9,Canada,BRA,Ontario,N,,asia-east1
2020-04-06 09:26:11,project_gamma,29,5,1.5378578144826989,2,0,1.2345364589066183,2,0,0.15653350932562327,2,Taiwan,TWN,Ontario,N,,
2020-04-07 09:26:11,project_delta,13,4,0.5461673924256534,5,0,1.234537206250321,5,0,0.1565336671825984,5,Taiwan,USA,Ohio,N,,
2020-04-08 09:26:11,project_delta,28,6,2.7054961656417373,6,0,1.234535025837356,6,0,0.15653320522708428,6,Canada,CAN,Ontario,N,,brazilsouth
2020-04-09 09:26:11,project_alpha,38,2,3.529972758531057,4,0,1.234537358077898,2,0,0.15653370060357052,4,Taiwan,CAN,Changhua County,N,gcp,
2020-04-10 09:26:11,project_alpha,33,9,3.0782022489686813,6,0,1.2345367336499398,6,0,0.1565335673179251,6,Taiwan,CAN,Changhua County,N,,asia-east1
